Date,Time,HHMM,Mode,Side,Entry,SL,TP1,TP2,Score,CtrlScore,DivStr,Delta,BarSpeed,FadeEdge,FadeType,RiskMult,TrendReg,VolReg,ChopReg,ATR,VwapDist,HoldBars,Outcome,ExitPx,MAE,MFE,PnL,Win
2026-01-14,13:00:14,1300,M4,LONG,25449.75,25417.5,25483.5,25530.5,4,2,2,156.0,3000.0,0,0,0.682,0,1,0,26.9,-160.54,2,T1,25483.5,1.25,35.5,675.0,1
2026-01-14,15:02:46,1502,M4,SHORT,25513.25,25548.25,25476.75,25425.75,3,0,-2,18.0,3000.0,0,0,0.581,0,1,0,29.19,-75.53,2,STOP,25548.25,50.0,4.25,-700.0,0
2026-01-15,10:58:04,1058,M1,LONG,25862.5,25823.5,25903.0,25959.75,8,3,0,454.0,3000.0,0,0,0.841,0,1,0,32.43,10.67,3,T1,25903.0,4.0,50.5,810.0,1
2026-01-15,15:29:43,1529,M2,LONG,25719.5,25691.0,25749.25,25794.5,7,3,2,494.0,3000.0,0,0,0.974,0,1,0,23.76,-128.48,4,STOP,25691.0,32.75,6.75,-570.0,0
2026-01-15,15:35:18,1535,M2,LONG,25714.75,25686.25,25744.5,25789.75,8,3,2,122.0,3000.0,0,0,0.968,0,1,0,23.76,-131.56,6,STOP,25686.25,38.5,11.5,-570.0,0
2026-01-16,11:56:48,1156,M2,SHORT,25694.25,25721.25,25666.0,25619.25,6,-2,0,-388.0,3000.0,0,0,0.825,0,1,0,22.52,-56.61,1,STOP,25721.25,28.5,7.0,-540.0,0
2026-01-16,12:25:44,1225,M2,SHORT,25695.75,25722.0,25668.5,25620.75,4,-1,0,-266.0,3000.0,0,0,0.805,0,1,0,21.77,-52.62,7,T1,25668.5,18.0,39.0,545.0,1
2026-01-16,13:18:58,1318,M2,LONG,25715.5,25687.5,25744.75,25790.5,7,3,0,318.0,3000.0,0,0,0.769,0,1,0,23.35,-26.93,7,T1,25744.75,5.75,31.75,585.0,1
2026-01-16,13:24:36,1324,M2,LONG,25724.0,25696.5,25752.5,25799.0,7,3,0,-156.0,3000.0,0,0,0.766,0,1,0,22.84,-18.23,9,STOP,25696.5,34.0,24.0,-550.0,0
2026-01-16,14:53:00,1453,M2,LONG,25725.0,25699.5,25751.5,25800.0,6,3,0,100.0,3000.0,0,0,0.714,0,1,0,21.21,-13.36,6,STOP,25699.5,29.25,4.5,-510.0,0
2026-01-16,15:36:12,1536,M2,SHORT,25701.25,25725.5,25676.0,25626.25,6,-2,0,-206.0,3000.0,0,0,0.688,0,1,0,20.2,-35.68,15,T1,25676.0,21.5,30.25,505.0,1
2026-01-16,15:45:33,1545,M2,SHORT,25703.75,25728.0,25678.5,25628.75,6,-2,0,-88.0,3000.0,0,0,0.682,0,1,0,20.15,-32.8,13,T1,25678.5,12.5,32.75,505.0,1
2026-01-16,15:52:00,1552,M2,LONG,25713.75,25688.25,25740.25,25788.75,6,3,0,292.0,3000.0,0,0,0.672,0,1,0,21.17,-22.03,3,STOP,25688.25,27.25,1.75,-510.0,0
2026-01-20,10:44:04,1044,M4,SHORT,25393.25,25431.75,25353.0,25296.75,3,0,-2,-326.0,3000.0,0,0,0.815,0,1,0,32.17,116.84,2,T1,25353.0,3.75,40.75,805.0,1
2026-01-20,10:58:11,1058,M4,LONG,25325.25,25289.25,25362.75,25415.0,3,2,2,-32.0,3000.0,0,0,0.792,0,1,0,29.93,44.21,1,T1,25362.75,3.25,41.75,750.0,1
2026-01-20,14:38:27,1438,M4,LONG,25147.75,25120.25,25176.5,25222.75,4,1,2,252.0,3000.0,0,0,0.558,0,1,0,22.99,-142.11,2,T1,25176.5,0.25,32.0,575.0,1
2026-01-20,14:40:52,1440,M2,LONG,25162.5,25135.25,25191.0,25237.5,7,2,0,224.0,3000.0,0,0,0.555,0,1,0,22.72,-126.63,8,STOP,25135.25,28.75,17.25,-545.0,0
2026-01-20,14:55:06,1455,M2,LONG,25169.0,25141.75,25197.5,25244.0,6,2,0,276.0,3000.0,0,0,0.542,0,1,0,22.7,-117.27,3,STOP,25141.75,29.25,4.0,-545.0,0
2026-01-20,15:03:47,1503,M2,LONG,25158.25,25131.5,25186.0,25233.25,4,0,0,124.0,3000.0,0,0,0.536,0,1,0,22.23,-126.68,3,STOP,25131.5,28.5,6.0,-535.0,0
2026-01-20,15:17:20,1517,M4,LONG,25130.5,25104.0,25158.25,25205.5,4,0,2,2.0,3000.0,0,0,0.523,0,1,0,22.16,-151.38,1,T1,25158.25,7.25,39.25,555.0,1
2026-01-20,15:18:24,1518,M2,LONG,25160.25,25131.5,25190.0,25235.25,5,1,2,476.0,3000.0,0,0,0.519,0,1,0,23.9,-120.94,2,STOP,25131.5,44.5,7.25,-575.0,0
2026-01-21,11:28:46,1128,M4,LONG,25470.0,25440.5,25500.75,25545.0,3,2,2,112.0,3000.0,0,0,0.776,0,1,0,24.55,204.8,1,STOP,25440.5,32.75,1.75,-590.0,0
2026-01-21,12:14:32,1214,M2,SHORT,25146.25,25180.75,25110.25,25059.75,6,-2,0,-27.0,3001.0,0,0,0.675,0,1,0,28.83,-124.74,3,STOP,25180.75,48.75,3.5,-690.0,0
2026-01-21,14:31:48,1431,M4,SHORT,25447.5,25487.5,25400.25,25334.25,3,-2,-4,-143.0,3000.0,0,0,0.49,0,1,0,37.76,183.97,5,STOP,25487.5,57.25,27.0,-800.0,0
2026-01-21,15:52:02,1552,M4,LONG,25461.75,25425.0,25500.0,25553.5,4,1,2,116.0,3000.0,0,0,0.487,0,1,0,30.56,148.59,10,T1,25500.0,5.75,52.0,765.0,1
2026-01-22,12:52:50,1252,M2,LONG,25713.0,25687.0,25740.25,25788.0,6,3,-2,24.0,3000.0,0,0,0.763,0,1,0,21.73,76.1,6,STOP,25687.0,29.75,9.25,-520.0,0
2026-01-22,13:03:02,1303,M2,SHORT,25698.25,25724.75,25670.75,25623.25,6,-2,-4,-594.0,3000.0,0,0,0.756,0,1,0,22.04,60.12,10,T1,25670.75,24.0,31.25,550.0,1
2026-01-22,13:14:48,1314,M2,SHORT,25694.5,25721.0,25667.0,25619.5,5,-2,0,-150.0,3000.0,0,0,0.747,0,1,0,21.99,54.64,7,T1,25667.0,15.5,27.5,550.0,1
2026-01-22,14:28:17,1428,M2,LONG,25711.25,25687.0,25736.5,25786.25,7,3,0,188.0,3000.0,0,0,0.708,0,1,0,20.11,66.25,2,STOP,25687.0,33.0,4.0,-485.0,0
2026-01-22,15:17:06,1517,M1,LONG,25653.75,25629.5,25679.0,25728.75,5,2,0,80.0,3000.0,0,0,0.669,0,1,0,20.29,7.38,2,STOP,25629.5,26.5,7.5,-485.0,0
2026-01-23,12:53:15,1253,M2,SHORT,25703.75,25734.5,25671.75,25627.0,4,-1,0,32.0,3000.0,0,0,0.779,0,1,0,25.58,-0.3,6,STOP,25734.5,45.5,21.0,-615.0,0
2026-01-23,12:55:34,1255,M1,LONG,25711.25,25680.25,25743.5,25788.75,4,1,0,94.0,3000.0,0,0,0.776,0,1,0,25.81,7.2,5,T1,25743.5,28.5,38.0,645.0,1
2026-01-23,12:55:34,1255,M2,LONG,25711.25,25680.25,25743.5,25788.75,4,1,0,94.0,3000.0,0,0,0.776,0,1,0,25.81,7.2,5,T1,25743.5,28.5,38.0,645.0,1
2026-01-23,13:01:21,1301,M1,LONG,25706.5,25675.75,25738.5,25783.5,3,0,0,146.0,3000.0,0,0,0.769,0,1,0,25.67,2.54,3,T1,25738.5,13.0,42.75,640.0,1
2026-01-23,13:04:10,1304,M1,LONG,25715.25,25684.0,25747.75,25793.5,7,3,0,18.0,3000.0,0,0,0.766,0,1,0,26.09,11.22,2,T1,25747.75,12.0,34.0,650.0,1
2026-01-23,13:04:10,1304,M2,LONG,25715.25,25684.0,25747.75,25793.5,7,3,0,18.0,3000.0,0,0,0.766,0,1,0,26.09,11.22,2,T1,25747.75,12.0,34.0,650.0,1
2026-01-23,13:07:43,1307,M2,LONG,25723.75,25693.0,25755.75,25800.75,6,3,0,-62.0,3000.0,0,0,0.763,0,1,0,25.69,19.61,2,T1,25755.75,0.5,35.5,640.0,1
2026-01-23,15:35:09,1535,M2,SHORT,25702.5,25730.25,25673.5,25627.5,5,-1,0,-156.0,3000.0,0,0,0.666,0,1,0,23.21,-8.51,2,STOP,25730.25,33.5,6.5,-555.0,0
2026-01-27,10:48:36,1048,M4,SHORT,26089.25,26111.0,26064.25,26014.25,3,-1,-4,-260.0,3000.0,0,0,0.925,0,1,0,18.11,74.68,2,T1,26064.25,3.75,26.25,500.0,1
2026-01-27,12:21:41,1221,M4,LONG,26066.0,26046.0,26091.0,26141.0,3,3,2,190.0,3000.0,0,0,0.854,0,1,0,15.05,33.95,5,T1,26091.0,5.0,26.0,500.0,1
2026-01-27,14:36:44,1436,M4,SHORT,26089.75,26109.75,26064.75,26014.75,4,-1,-4,-180.0,3000.0,0,0,0.782,0,1,0,13.86,48.66,4,TIME,26094.25,9.0,12.0,-90.0,0
